space,r,fin,q,t
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
F,0,True,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
.,-1,False,0,0
